player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds
Chris Godwin,TB,WR,0.75,0.0,0.0,0.0,0.0,0.0,79.1,7.85,1188.8,1.05,0.05,5.8
Chris Herndon,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,44.0,6.0,563.0,0.0,0.0,0.0
Chris Herndon IV,NYJ,TE,0.0,0.0,0.0,0.0,0.0,0.0,48.8,4.6,585.1,0.0,0.0,0.0
Chris Hogan,NYJ,WR,0.0,0.0,0.0,0.0,0.0,0.0,21.7,1.6,287.4,0.0,0.0,0.0
Chris Manhertz,CAR,TE,0.0,0.0,0.0,0.0,0.0,0.0,9.85,0.9,127.3,0.0,0.0,0.0
Chris Moore,BAL,WR,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.3,45.6,0.0,0.0,0.0
Chris Thompson,JAC,RB,0.75,0.0,0.0,0.0,0.0,0.0,43.85,1.2,353.0,47.05,1.15,225.4
Christian Blake,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.5,120.0,0.0,0.0,0.0
Christian Kirk,ARI,WR,0.75,0.0,0.0,0.0,0.0,0.0,71.35,4.9,824.5,6.85,0.0,63.5
Christian McCaffrey,CAR,RB,3.1,0.0,0.0,0.0,0.0,0.0,108.4,4.75,912.35,249.35,8.75,1132.45
Clyde Edwards-Helaire,KC,RB,2.6,0.0,0.0,0.0,0.0,0.0,50.2,3.55,513.95,196.65,9.1,876.7
Cody Core,NYG,WR,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.6,79.2,0.0,0.0,0.0
Cody Holliste,TEN,WR,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.4,76.5,0.0,0.0,0.0
Colby Parkinson,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,67.0,0.0,0.0,0.0
Cole Beasley,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,59.3,4.6,693.45,0.0,0.0,0.0
Cole Kmet,CHI,TE,0.75,0.0,0.0,0.0,0.0,0.0,32.1,2.45,329.85,0.0,0.0,0.0
Collin Johnson,JAC,WR,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,6.8,0.0,0.0,0.0
Colt McCoy,NYG,QB,0.0,23.15,14.35,0.85,0.85,157.35,0.0,0.0,0.0,1.35,0.0,7.35
Cooper Kupp,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,87.15,8.9,1076.75,2.65,0.0,11.35
Cordarrelle Patterson,CHI,WR,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.5,112.4,22.0,1.1,135.8
Corey Clement,PHI,RB,0.75,0.0,0.0,0.0,0.0,0.0,9.05,0.05,73.0,39.5,1.0,157.0
Corey Davis,TEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,47.85,3.35,669.45,2.25,0.0,20.85
Courtland Sutton,DEN,WR,0.75,0.0,0.0,0.0,0.0,0.0,67.5,6.55,1070.7,1.4,0.0,4.45
Cullen Gillaspia,HOU,RB,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.9,1.5,0.0,5.9
Curtis Samuel,CAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,43.4,4.5,519.9,18.8,1.55,140.45
D'Andre Swift,DET,RB,2.35,0.0,0.0,0.0,0.0,0.0,32.5,1.65,334.6,142.75,3.7,579.3
D'Ernest Johnson,CLE,RB,0.0,0.0,0.0,0.0,0.0,0.0,4.25,0.0,46.4,16.0,0.65,66.9
