Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,PPRFantasyPoints,StandardFantasyPoints,HalfPPRFantasyPoints
Sam Darnold,QB,NYJ,86,0,4,32,11,2,-1,0,0,0,0,0,1,-6.66,-6.66,-6.66
Dalvin Cook,RB,MIN,0,0,0,0,0,25,142,2,1,2,7,0,0,27.9,26.9,27.4
Leonard Fournette,RB,JAX,0,0,0,0,0,29,131,0,2,2,14,0,0,16.5,14.5,15.5
Chase Edmonds,RB,ARI,0,0,0,0,0,27,126,3,2,4,24,0,0,35,33,34
Josh Jacobs,RB,OAK,0,0,0,0,0,21,124,0,3,3,10,0,0,16.4,13.4,14.9
Latavius Murray,RB,NOR,0,0,0,0,0,27,119,2,5,6,31,0,0,32,27,29.5
Ezekiel Elliott,RB,DAL,0,0,0,0,0,22,111,1,6,7,36,0,0,26.7,20.7,23.7
Derrick Henry,RB,TEN,0,0,0,0,0,22,90,1,1,1,18,0,0,17.8,16.8,17.3
Adrian Peterson,RB,WAS,0,0,0,0,0,20,81,0,0,0,0,0,1,6.1,6.1,6.1
Saquon Barkley,RB,NYG,0,0,0,0,0,18,72,1,3,5,8,0,0,17,14,15.5
Le'Veon Bell,RB,NYJ,0,0,0,0,0,15,70,0,1,4,6,0,0,8.6,7.6,8.1
Mark Walton,RB,MIA,0,0,0,0,0,14,66,0,1,1,-8,0,0,6.8,5.8,6.3
Chris Carson,RB,SEA,0,0,0,0,0,21,65,0,3,5,9,0,0,10.4,7.4,8.9
LeSean McCoy,RB,KAN,0,0,0,0,0,12,64,0,2,2,12,0,0,9.6,7.6,8.6
Tevin Coleman,RB,SFO,0,0,0,0,0,20,62,0,2,2,-1,0,0,8.1,6.1,7.1
Frank Gore,RB,BUF,0,0,0,0,0,11,55,0,1,1,11,0,0,7.6,6.6,7.1
Jordan Howard,RB,PHI,0,0,0,0,0,11,50,0,2,2,6,0,0,7.6,5.6,6.6
Aaron Jones,RB,GNB,0,0,0,0,0,12,50,0,4,4,33,1,0,18.3,14.3,16.3
Mark Ingram,RB,BAL,0,0,0,0,0,12,46,0,1,1,7,0,0,6.3,5.3,5.8
Marlon Mack,RB,IND,0,0,0,0,0,18,44,0,3,3,12,0,0,8.6,5.6,7.1
Sony Michel,RB,NWE,0,0,0,0,0,19,42,3,1,2,-8,0,0,22.4,21.4,21.9
Todd Gurley,RB,LAR,0,0,0,0,0,18,41,0,1,1,13,1,0,12.4,11.4,11.9
Phillip Lindsay,RB,DEN,0,0,0,0,0,11,36,0,1,1,-4,0,0,4.2,3.2,3.7
Matt Breida,RB,SFO,0,0,0,0,0,8,35,0,1,1,1,0,0,4.6,3.6,4.1
Gus Edwards,RB,BAL,0,0,0,0,0,8,35,0,0,0,0,0,0,3.5,3.5,3.5
Royce Freeman,RB,DEN,0,0,0,0,0,10,35,1,4,5,32,0,0,16.7,12.7,14.7
Carlos Hyde,RB,HOU,0,0,0,0,0,12,35,0,0,0,0,0,0,3.5,3.5,3.5
Duke Johnson,RB,HOU,0,0,0,0,0,7,34,0,2,5,22,0,0,7.6,5.6,6.6
Melvin Gordon,RB,LAC,0,0,0,0,0,16,32,0,2,3,-3,1,1,8.9,6.9,7.9
Boston Scott,RB,PHI,0,0,0,0,0,7,32,0,1,1,5,0,0,4.7,3.7,4.2
Darrell Henderson,RB,LAR,0,0,0,0,0,11,31,0,1,1,8,0,0,4.9,3.9,4.4
Ty Johnson,RB,DET,0,0,0,0,0,10,29,0,4,4,28,0,0,9.7,5.7,7.7
J.D. McKissic,RB,DET,0,0,0,0,0,5,29,0,2,3,31,0,0,8,6,7
DeAndre Washington,RB,OAK,0,0,0,0,0,6,29,0,1,1,12,0,0,5.1,4.1,4.6
Tony Pollard,RB,DAL,0,0,0,0,0,8,28,0,0,0,0,0,0,2.8,2.8,2.8
Devin Singletary,RB,BUF,0,0,0,0,0,7,26,0,0,0,0,0,0,2.6,2.6,2.6
Kerryon Johnson,RB,DET,0,0,0,0,0,5,23,0,0,0,0,0,0,2.3,2.3,2.3
Wendell Smallwood,RB,WAS,0,0,0,0,0,5,23,0,1,1,18,0,0,5.1,4.1,4.6
Kenyan Drake,RB,MIA,0,0,0,0,0,6,21,0,3,4,37,0,0,8.8,5.8,7.3
Taysom Hill,QB,NOR,0,0,0,0,0,2,21,0,1,2,4,1,0,9.5,8.5,9
Miles Sanders,RB,PHI,0,0,0,0,0,6,21,0,3,3,11,0,0,6.2,3.2,4.7
Tavon Austin,WR,DAL,0,0,0,0,0,1,20,1,0,0,0,0,0,8,8,8
DJ Chark,WR,JAX,0,0,0,0,0,1,20,0,3,5,53,0,0,10.3,7.3,8.8
Julian Edelman,WR,NWE,0,0,0,0,0,3,20,0,7,12,47,0,0,13.7,6.7,10.2
Jeff Wilson,RB,SFO,0,0,0,0,0,5,20,0,0,0,0,0,0,2,2,2
Devonta Freeman,RB,ATL,0,0,0,0,0,7,19,0,2,3,6,0,0,4.5,2.5,3.5
Alexander Mattison,RB,MIN,0,0,0,0,0,7,18,0,0,0,0,0,0,1.8,1.8,1.8
C.J. Prosise,RB,SEA,0,0,0,0,0,1,17,0,0,0,0,0,0,1.7,1.7,1.7
Dede Westbrook,WR,JAX,0,0,0,0,0,2,14,0,6,9,103,0,0,17.7,11.7,14.7
Damien Harris,RB,NWE,0,0,0,0,0,4,12,0,0,0,0,0,0,1.2,1.2,1.2
Brian Hill,RB,ATL,0,0,0,0,0,5,11,0,2,2,14,0,0,4.5,2.5,3.5
Tarik Cohen,RB,CHI,0,0,0,0,0,3,10,0,9,12,19,0,0,11.9,2.9,7.4
C.J. Ham,FB,MIN,0,0,0,0,0,1,9,0,1,1,5,1,0,8.4,7.4,7.9
John Kelly,RB,LAR,0,0,0,0,0,3,9,0,0,0,0,0,0,0.9,0.9,0.9
Ty Montgomery,RB,NYJ,0,0,0,0,0,2,9,0,0,0,0,0,0,0.9,0.9,0.9
Jordan Wilkins,RB,IND,0,0,0,0,0,2,9,0,1,1,6,0,0,2.5,1.5,2
Kalen Ballage,RB,MIA,0,0,0,0,0,3,7,1,0,0,0,0,0,6.7,6.7,6.7
Austin Ekeler,RB,LAC,0,0,0,0,0,5,7,0,7,8,118,1,0,25.5,18.5,22
Anthony Sherman,FB,KAN,0,0,0,0,0,2,7,0,0,0,0,0,0,0.7,0.7,0.7
Ito Smith,RB,ATL,0,0,0,0,0,1,7,0,0,0,0,0,0,0.7,0.7,0.7
Damien Williams,RB,KAN,0,0,0,0,0,9,7,0,2,3,-1,0,0,2.6,0.6,1.6
David Montgomery,RB,CHI,0,0,0,0,0,2,6,0,2,2,13,0,1,1.9,-0.1,0.9
Robert Woods,WR,LAR,0,0,0,0,0,1,6,0,5,7,80,0,0,13.6,8.6,11.1
Jamaal Williams,RB,GNB,0,0,0,0,0,3,5,0,4,5,26,1,0,13.1,9.1,11.1
Keke Coutee,WR,HOU,0,0,0,0,0,1,4,1,3,5,25,0,0,11.9,8.9,10.4
Patrick DiMarco,FB,BUF,0,0,0,0,0,1,4,0,1,1,27,0,0,4.1,3.1,3.6
Ryquell Armstead,RB,JAX,0,0,0,0,0,3,3,0,0,0,0,0,0,0.3,0.3,0.3
Nyheim Hines,RB,IND,0,0,0,0,0,1,3,0,1,2,13,0,0,2.6,1.6,2.1
Zach Line,FB,NOR,0,0,0,0,0,1,3,0,1,3,12,0,0,2.5,1.5,2
Bilal Powell,RB,NYJ,0,0,0,0,0,1,3,0,0,0,0,0,0,0.3,0.3,0.3
Brandon Bolden,RB,NWE,0,0,0,0,0,1,2,0,4,4,39,0,0,8.1,4.1,6.1
Matt Haack,P,MIA,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
David Johnson,RB,ARI,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
Dion Lewis,RB,TEN,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
Joe Mixon,RB,CIN,0,0,0,0,0,10,2,0,1,2,2,1,0,7.4,6.4,6.9
Cordarrelle Patterson,WR,CHI,0,0,0,0,0,1,2,0,2,3,21,0,0,4.3,2.3,3.3
Jalen Richard,RB,OAK,0,0,0,0,0,2,2,0,1,1,5,0,0,1.7,0.7,1.2
Willie Snead,WR/RS,BAL,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
Dexter Williams,RB,GNB,0,0,0,0,0,3,2,0,0,0,0,0,0,0.2,0.2,0.2
Darrel Williams,RB,KAN,0,0,0,0,0,2,1,0,2,2,5,0,0,2.6,0.6,1.6
Zach Zenner,RB,NOR,0,0,0,0,0,1,1,0,1,2,6,0,0,1.7,0.7,1.2
Giovani Bernard,RB,CIN,0,0,0,0,0,4,0,0,2,3,4,0,0,2.4,0.4,1.4
George Kittle,TE,SFO,0,0,0,0,0,2,0,0,3,5,38,0,0,6.8,3.8,5.3
Steven Sims,WR,WAS,0,0,0,0,0,1,0,0,3,3,5,0,0,3.5,0.5,2
James White,RB,NWE,0,0,0,0,0,5,0,0,7,8,59,0,0,12.9,5.9,9.4
Anthony Miller,WR,CHI,0,0,0,0,0,1,-1,0,5,9,64,0,1,9.3,4.3,6.8
A.J. Brown,WR,TEN,0,0,0,0,0,1,-2,0,6,8,64,0,0,12.2,6.2,9.2
Alex Erickson,WR,CIN,0,0,0,0,0,2,-2,0,8,14,137,0,0,21.5,13.5,17.5
Jarrett Stidham,QB,NWE,0,0,0,0,0,2,-2,0,0,0,0,0,0,-0.2,-0.2,-0.2
Tim Boyle,QB,GNB,0,0,0,0,0,3,-3,0,0,0,0,0,0,-0.3,-0.3,-0.3
Tyler Lockett,WR,SEA,0,0,0,0,0,1,-3,0,5,7,61,1,0,16.8,11.8,14.3
Bryan Anger,P,HOU,0,0,0,0,0,1,-5,0,0,0,0,0,0,-0.5,-0.5,-0.5
Stefon Diggs,WR,MIN,0,0,0,0,0,0,0,0,7,8,143,0,0,21.3,14.3,17.8
Marquez Valdes-Scantling,WR,GNB,0,0,0,0,0,0,0,0,2,3,133,1,0,21.3,19.3,20.3
