"fantasyPointsRank","playerName","teamName","position","byeWeek","games","fantasyPoints","salary","passComp","passAtt","passYds","passTd","passInt","passSacked","rushAtt","rushYds","rushTd","recvTargets","recvReceptions","recvYds","recvTd","fumbles","fumblesLost","twoPt","returnYds","returnTd","fgMade019","fgAtt019","fgMade2029","fgAtt2029","fgMade3039","fgAtt3039","fgMade4049","fgAtt4049","fgMade50plus","fgAtt50plus","patMade","patAtt","dstSacks","dstSafeties","dstInt","dstFumblesForced","dstFumblesRecovered","dstTd","dstReturnYds","dstReturnTd","dstPts0","dstPts16","dstPts713","dstPts1420","dstPts2127","dstPts2834","dstPts35plus","idpTacklesSolo","idpTacklesAssist","idpSacks","idpTacklesForLoss","idpPassDefended","idpInt","idpFumblesForced","idpFumblesRecovered","idpSafeties","idpTd"
"54","Adam Thielen","MIN","wr","7","GB","13.8","0","0","0","0","0","0","0","0.2095","1.4264","0.01","7.0942","4.8626","61.8532","0.3533","0.0596","0.0298","0.0155","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","Devin Singletary","BUF","rb","11","NYJ","11.4","0","0","0","0","0","0","0","12.6885","53.6592","0.2747","2.7966","2.1735","15.5785","0.0812","0.2213","0.1106","0.0056","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","Tom Brady","TB","qb","13","@NO","20.9","0","24.3005","39.2206","324.5845","1.5763","0.4186","2.1021","0.9863","0.3398","0.0386","0","0","0","0","0.2897","0.1448","0.0644","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","James Conner","PIT","rb","8","@NYG","11.3","0","0","0","0","0","0","0","11.6184","46.5772","0.3113","2.8485","2.2985","17.6313","0.0991","0.1476","0.0738","0.0037","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","T.Y. Hilton","IND","wr","7","@JAX","13.7","0","0","0","0","0","0","0","0","0","0","7.4248","4.7245","66.4377","0.3113","0.0298","0.0149","0.0047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","David Johnson","HST","rb","8","@KC","11.2","0","0","0","0","0","0","0","12.0815","43.2788","0.3702","2.7995","2.2388","17.9784","0.081","0.1109","0.0555","0.0162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","Tarik Cohen","CHI","rb","11","@DET","11.2","0","0","0","0","0","0","0","4.7389","17.0629","0.1069","5.2416","4.2685","33.3336","0.1867","0.1109","0.0554","0.0079","17.4943","0.0133","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","Marvin Jones Jr.","DET","wr","5","CHI","13.5","0","0","0","0","0","0","0","0.1369","0.9438","0.0056","6.686","4.3137","61.9009","0.4017","0.0324","0.0162","0.0084","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","Amari Cooper","DAL","wr","10","@LA","13.5","0","0","0","0","0","0","0","0.086","0.5093","0.0025","7.3521","4.5995","63.1929","0.3509","0.0663","0.0331","0.0143","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","D.K. Metcalf","SEA","wr","6","@ATL","13.5","0","0","0","0","0","0","0","0.1304","0.8438","0.0044","6.5959","4.113","63.3597","0.4077","0.0768","0.0384","0.0184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
