player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_typical_position,percent_typical_overall
Golden Tate,NYG,WR,0.75,0.0,0.0,0.0,0.0,0.0,65.85,5.05,799.1,2.3,0.0,19.2,176.48,103.0,43.0,True,0.9756744803184432,0.9756744803184432
Greg Olsen,SEA,TE,0.0,0.0,0.0,0.0,0.0,0.0,38.05,3.8,465.2,0.0,0.0,0.0,107.37,188.0,27.0,True,0.5935979655019903,0.5935979655019903
Greg Ward,PHI,WR,0.75,0.0,0.0,0.0,0.0,0.0,38.4,2.2,435.1,2.2,0.0,10.8,94.69,216.0,94.0,True,0.5234962406015038,0.5234962406015038
Gus Edwards,BAL,RB,0.8,0.0,0.0,0.0,0.0,0.0,4.25,0.05,30.5,66.8,1.75,362.4,52.74,288.0,80.0,True,0.2915745245466608,0.2915745245466608
Hayden Hurst,ATL,TE,0.75,0.0,0.0,0.0,0.0,0.0,61.1,4.25,730.9,0.0,0.0,0.0,158.19,125.0,9.0,True,0.8745577178239717,0.8745577178239717
Henry Ruggs,LV,WR,1.0,0.0,0.0,0.0,0.0,0.0,55.8,4.8,778.3,3.6,0.1,24.6,163.49,120.0,52.0,True,0.903858911985847,0.903858911985847
Hunter Henry,LAC,TE,0.75,0.0,0.0,0.0,0.0,0.0,62.7,5.6,748.7,0.0,0.0,0.0,169.67,111.0,7.0,True,0.9380252100840336,0.9380252100840336
Hunter Renfrow,LV,WR,0.75,0.0,0.0,0.0,0.0,0.0,59.4,5.15,724.8,0.0,0.0,0.0,161.28,123.0,54.0,True,0.8916408668730651,0.8916408668730651
Ian Thomas,CAR,TE,0.75,0.0,0.0,0.0,0.0,0.0,56.6,3.9,547.35,0.0,0.0,0.0,133.24,164.0,21.0,True,0.7366209641751438,0.7366209641751438
Irv Smith,MIN,TE,0.75,0.0,0.0,0.0,0.0,0.0,47.85,2.9,463.6,0.0,0.0,0.0,110.11,183.0,24.0,True,0.6087461300309598,0.6087461300309598
Ito Smith,ATL,RB,0.8,0.0,0.0,0.0,0.0,0.0,26.85,0.25,173.4,83.85,3.75,308.25,97.42,209.0,55.0,True,0.5385891198584697,0.5385891198584697
J.K. Dobbins,BAL,RB,2.4,0.0,0.0,0.0,0.0,0.0,14.9,0.85,129.1,163.6,4.65,787.25,134.74,158.0,41.0,True,0.7449137549756746,0.7449137549756746
Jack Doyle,IND,TE,0.75,0.0,0.0,0.0,0.0,0.0,53.85,4.5,551.2,0.0,0.0,0.0,134.47,160.0,19.0,True,0.743421052631579,0.743421052631579
Jakeem Grant,MIA,WR,0.75,0.0,0.0,0.0,0.0,0.0,38.75,2.25,437.05,3.8,1.4,13.95,104.25,191.0,81.0,True,0.5763489606368863,0.5763489606368863
Jalen Hurts,PHI,QB,4.6,22.25,13.0,0.55,1.5,246.45,0.0,0.0,0.0,34.0,1.65,170.65,33.07,339.0,37.0,True,0.18282839451570101,0.18282839451570101
Jalen Reago,PHI,WR,1.5,0.0,0.0,0.0,0.0,0.0,45.4,3.45,646.45,1.9,0.05,9.25,128.97,169.0,73.0,True,0.7130141530296329,0.7130141530296329
Jalen Richard,LV,RB,2.55,0.0,0.0,0.0,0.0,0.0,33.9,0.4,304.55,82.45,1.8,352.85,107.74,187.0,50.0,True,0.5956435205661211,0.5956435205661211
Jamaal Williams,GB,RB,0.75,0.0,0.0,0.0,0.0,0.0,25.7,1.65,185.05,67.15,1.25,256.3,85.74,230.0,60.0,True,0.474015922158337,0.474015922158337
James Conne,PIT,RB,2.7,0.0,0.0,0.0,0.0,0.0,40.6,2.05,331.2,225.85,6.8,937.2,215.14,69.0,16.0,True,1.189407341884122,1.189407341884122
James Robinson,JAC,RB,1.6,0.0,0.0,0.0,0.0,0.0,20.25,0.75,182.1,99.8,1.85,400.95,90.96,225.0,58.0,True,0.502874834144184,0.502874834144184
James Washington,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,36.15,2.45,550.2,0.0,0.0,0.0,104.37,190.0,80.0,True,0.5770123839009288,0.5770123839009288
James White,NE,RB,0.75,0.0,0.0,0.0,0.0,0.0,62.85,3.85,540.7,67.5,1.8,258.75,175.2,104.0,24.0,True,0.9685979655019902,0.9685979655019902
Jamison Crowde,NYJ,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.7,5.9,845.1,2.0,0.0,12.65,192.38,88.0,35.0,True,1.063578062804069,1.063578062804069
Jared Cook,NO,TE,0.0,0.0,0.0,0.0,0.0,0.0,49.1,6.3,675.55,0.0,0.0,0.0,154.45,131.0,11.0,True,0.8538810260946483,0.8538810260946483
Jared Goff,LAR,QB,3.3,601.85,381.25,15.4,25.05,4443.9,0.0,0.0,0.0,38.75,1.05,80.2,270.28,23.0,14.0,True,1.494250331711632,1.494250331711632
Jarvis Landry,CLE,WR,0.75,0.0,0.0,0.0,0.0,0.0,72.75,5.25,994.8,1.35,0.65,25.35,208.66,78.0,29.0,True,1.1535824856258292,1.1535824856258292
Jerick McKinnon,SF,RB,1.6,0.0,0.0,0.0,0.0,0.0,22.1,0.8,206.5,108.35,3.5,476.95,113.05,181.0,48.0,True,0.625,0.625
Jerry Jeudy,DEN,WR,1.5,0.0,0.0,0.0,0.0,0.0,54.0,4.05,814.3,1.35,0.0,5.35,157.27,127.0,56.0,True,0.8694714727996462,0.8694714727996462
Jimmy Garoppolo,SF,QB,3.4,471.75,316.0,17.2,26.5,3806.0,0.0,0.0,0.0,45.1,1.15,85.0,249.64,36.0,22.0,True,1.380141530296329,1.380141530296329
Jimmy Graham,CHI,TE,0.25,0.0,0.0,0.0,0.0,0.0,43.3,2.15,456.75,0.0,0.0,0.0,101.38,200.0,30.0,True,0.5604820875718708,0.5604820875718708
Joe Burrow,CIN,QB,4.8,574.2,354.1,14.65,22.8,3938.25,0.0,0.0,0.0,34.6,1.4,195.0,252.38,35.0,21.0,True,1.3952896948252986,1.3952896948252986
Joe Mixon,CIN,RB,2.4,0.0,0.0,0.0,0.0,0.0,41.95,1.85,323.2,271.95,7.85,1148.95,242.56,45.0,11.0,True,1.340999557717824,1.340999557717824
John Brown,BUF,WR,0.75,0.0,0.0,0.0,0.0,0.0,54.0,5.7,833.7,2.85,0.05,9.6,171.33,109.0,45.0,True,0.947202565236621,0.947202565236621
John Ross,CIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,30.8,4.8,448.75,4.15,0.0,11.3,104.1,193.0,82.0,True,0.5755196815568332,0.5755196815568332
John Wolford,LAR,QB,0.1,19.0,12.0,0.6,1.35,234.3,0.0,0.0,0.0,1.0,0.2,29.2,18.09,411.0,40.0,True,0.1000110570544007,0.1000110570544007
Jonathan Taylo,IND,RB,2.5,0.0,0.0,0.0,0.0,0.0,21.15,1.05,204.2,201.65,6.35,877.4,168.71,112.0,28.0,True,0.932717823971694,0.932717823971694
Jonnu Smith,TEN,TE,0.75,0.0,0.0,0.0,0.0,0.0,48.6,5.35,584.2,0.0,0.0,0.0,137.62,151.0,15.0,True,0.7608359133126935,0.7608359133126935
Jordan Howard,MIA,RB,1.6,0.0,0.0,0.0,0.0,0.0,17.9,0.75,130.75,177.3,6.25,687.3,138.5,150.0,39.0,True,0.7657010172490049,0.7657010172490049
Josh Allen,BUF,QB,3.45,533.2,310.2,15.1,22.15,3544.5,0.0,0.0,0.0,110.7,7.4,661.35,318.92,8.0,5.0,True,1.7631578947368423,1.7631578947368423
Josh Gordon,SEA,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.0,3.0,602.0,1.0,0.0,1.0,112.3,182.0,78.0,True,0.6208536045997346,0.6208536045997346
Josh Jacobs,LV,RB,2.55,0.0,0.0,0.0,0.0,0.0,33.2,0.4,269.65,274.45,9.65,1265.8,241.94,46.0,12.0,True,1.3375718708536046,1.3375718708536046
Josh Reynolds,LAR,WR,0.0,0.0,0.0,0.0,0.0,0.0,34.7,2.9,482.7,4.35,0.05,24.4,103.11,195.0,83.0,True,0.570046439628483,0.570046439628483
Joshua Kelley,LAC,RB,1.55,0.0,0.0,0.0,0.0,0.0,5.65,0.1,49.8,126.8,4.25,492.35,82.86,233.0,62.0,True,0.458093763821318,0.458093763821318
JuJu Smith-Schuste,PIT,WR,0.75,0.0,0.0,0.0,0.0,0.0,86.3,6.05,1127.2,0.65,0.0,5.35,234.36,53.0,12.0,True,1.2956656346749227,1.2956656346749227
Julian Edelman,NE,WR,0.75,0.0,0.0,0.0,0.0,0.0,82.25,5.0,947.4,11.3,0.05,71.95,212.98,74.0,25.0,True,1.1774657231313579,1.1774657231313579
Julio Jones,ATL,WR,0.75,0.0,0.0,0.0,0.0,0.0,108.15,6.4,1505.75,1.4,0.0,3.05,295.93,15.0,3.0,True,1.6360570544007078,1.6360570544007078
Justin Herbert,LAC,QB,0.2,50.15,30.0,2.45,2.8,535.5,0.0,0.0,0.0,6.35,0.3,58.8,37.45,324.0,36.0,True,0.2070433436532508,0.2070433436532508
Justin Jackson,LAC,RB,0.8,0.0,0.0,0.0,0.0,0.0,13.4,0.1,95.2,75.45,1.7,358.1,67.93,261.0,72.0,True,0.3755528527200354,0.3755528527200354
Justin Jefferson,MIN,WR,0.75,0.0,0.0,0.0,0.0,0.0,48.45,4.0,731.15,1.7,0.05,10.45,145.41,141.0,63.0,True,0.8039031402034498,0.8039031402034498
K.J. Hamle,DEN,WR,1.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,517.0,2.0,0.0,8.0,95.5,213.0,93.0,True,0.5279743476337904,0.5279743476337904
Kareem Hunt,CLE,RB,1.5,0.0,0.0,0.0,0.0,0.0,40.3,2.65,378.2,119.05,5.1,518.15,173.44,106.0,25.0,True,0.9588677576293676,0.9588677576293676
Keelan Cole,JAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,32.6,2.5,471.3,0.85,0.0,3.95,93.62,220.0,97.0,True,0.5175807164971252,0.5175807164971252
Keenan Allen,LAC,WR,0.75,0.0,0.0,0.0,0.0,0.0,88.25,6.05,1098.95,6.45,0.05,45.55,237.8,50.0,11.0,True,1.31468376824414,1.31468376824414
