player,team,position,fumble_lost,pass_att,pass_comp,pass_int,pass_tds,pass_yds,rcv_rec,rcv_tds,rcv_yds,rush_att,rush_tds,rush_yds,fp,overall_rank,pos_rank,is_top_player,percent_average_position,percent_average_overall,percent_typical_position,percent_typical_overall,percent_median_position,percent_median_overall,positional_value,pos_value_remaining
Robby Anderson,CAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,51.4,4.6,743.6,1.5,0.0,-0.09999999999999998,126.15,141.0,59.0,True,0.8991696846883128,0.8553715790460662,0.8278645491534322,0.8117760617760618,0.9225874867444326,0.949996234656224,0.008991696846883128,0.27748811264176254
Robert Woods,LAR,WR,0.75,0.0,0.0,0.0,0.0,0.0,89.8,4.55,1132.8,16.95,0.9,100.5,199.43,53.0,9.0,True,1.4214935411604457,1.3522533016976377,1.3087675547972175,1.2833333333333334,1.4585146451164661,1.5018450184501844,0.014214935411604459,0.8552768038455809
Ronald Jones,TB,RB,1.75,0.0,0.0,0.0,0.0,0.0,25.7,0.4,224.55,154.5,5.4,651.1,131.72,129.0,36.0,True,0.9620160715281023,0.8931394719932448,0.8644179026118913,0.8476190476190476,1.0198993418505613,0.9919421643196022,0.012658106204317133,0.3330344667200972
Russell Gage,ATL,WR,0.0,0.0,0.0,0.0,0.0,0.0,38.5,2.6,445.3,3.3,0.1,22.4,82.22,206.0,88.0,True,0.5860462265166316,0.5575002079204722,0.5395721223257646,0.529086229086229,0.6013091015467875,0.6191731305068152,0.005860462265166316,0.06690492465578146
Russell Wilson,SEA,QB,1.8,489.6,325.0,8.7,29.3,3961.05,0.0,0.0,0.0,72.05,2.2,370.35,313.58,7.0,6.0,True,1.3952500186319583,2.1262577864230314,2.0578816117600733,2.017889317889318,1.2409671930032846,2.3614730024851265,0.03488125046579895,0.7740905657774866
Ryan Fitzpatrick,MIA,QB,0.85,256.85,160.95,8.3,10.3,1735.9,0.0,0.0,0.0,25.5,1.6,120.3,122.27,147.0,33.0,True,0.5440309323876827,0.8290628852157155,0.8024018900118126,0.7868082368082367,0.48387352091495506,0.9207771669553428,0.013600773309692065,0.028259396902979184
Ryan Tannehill,TEN,QB,3.4,429.55,283.4,11.25,24.3,3562.4,0.0,0.0,0.0,61.2,2.75,257.95,263.94,20.0,16.0,True,1.174380668147583,1.7896692395831844,1.7321170757317235,1.6984555984555985,1.044520954529265,1.9876496724150912,0.02935951670368957,0.4598545261197807
Ryquell Armstead,JAC,RB,1.0,0.0,0.0,0.0,0.0,0.0,12.45,1.55,121.55,93.2,1.85,323.75,69.16,234.0,65.0,True,0.505109562001849,0.46894568693480726,0.4538653366583541,0.445045045045045,0.5355013550135501,0.5208223510806536,0.006646178447392749,0.06422941424065753
Sam Darnold,NYJ,QB,2.6,517.0,326.5,18.8,22.45,3628.1,0.0,0.0,0.0,42.95,1.8,124.75,234.2,38.0,28.0,True,1.0420548324625443,1.5880144574917852,1.536947105919412,1.5070785070785069,0.92682733784479,1.763687024625348,0.026051370811563602,0.12744148174679892
Sammy Watkins,KC,WR,0.75,0.0,0.0,0.0,0.0,0.0,60.25,4.25,809.8,3.45,0.0,28.75,137.98,120.0,49.0,True,0.983491344378069,0.9355859728638621,0.9054994093713086,0.8879021879021878,1.0091052034958128,1.039084268393704,0.00983491344378069,0.371472906231891
